cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
12345678901,2025-12-04T18:58:48Z,2500.00,5000.00,aprovado
12345678901,2025-12-04T20:29:21Z,2500.00,10000.00,aprovado
12345678901,2025-12-04T20:30:08Z,2500.00,50000.00,rejeitado
12345678901,2025-12-04T20:31:50Z,2500.00,10000.00,aprovado
12345678901,2025-12-04T20:32:15Z,2500.00,15000.00,aprovado
12345678901,2025-12-04T20:34:15Z,2500.00,10000.00,aprovado
12345678901,2025-12-04T20:34:25Z,2500.00,15000.00,aprovado
12345678901,2025-12-04T20:40:51Z,2500.00,10000.00,aprovado
12345678901,2025-12-04T20:41:50Z,2500.00,15000.00,aprovado
12345678901,2025-12-04T20:44:07Z,2500.00,10000.00,aprovado
12345678901,2025-12-04T20:47:35Z,2500.00,15000.00,aprovado
12345678901,2025-12-05T14:36:20Z,2500.00,10000.00,aprovado
12345678901,2025-12-05T19:40:07Z,10000.00,10000.00,aprovado
12345678901,2025-12-05T19:45:27Z,10000.00,50000.00,rejeitado
12345678901,2025-12-05T19:50:07Z,10000.00,50000.00,aprovado
12345678901,2025-12-05T20:15:50Z,50000.00,5000.00,aprovado
12345678901,2025-12-05T20:16:46Z,5000.00,30000.00,rejeitado
12345678901,2025-12-05T20:20:45Z,5000.00,30000.00,aprovado
12345678901,2025-12-05T20:30:46Z,30000.00,10000.00,aprovado
12345678901,2025-12-05T20:31:37Z,10000.00,50000.00,aprovado
98765432101,2025-12-05T20:34:52Z,5000.00,5000.00,aprovado
98765432101,2025-12-05T20:36:52Z,5000.00,20000.00,rejeitado
98765432101,2025-12-05T20:40:50Z,5000.00,20000.00,rejeitado
98765432101,2025-12-05T20:42:49Z,5000.00,15000.00,aprovado
